City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Petropavlovsk-Kamchatskiy,90,RU,1619894927,100,53.0452,158.6483,32.0,1.74
Christchurch,0,NZ,1619894571,100,-43.5333,172.6333,30.2,2.3
Vila Franca do Campo,75,PT,1619894635,88,37.7167,-25.4333,60.8,10.36
Barrow,90,US,1619894464,86,71.2906,-156.7887,21.2,10.36
Los Pozos,100,VE,1619894928,43,8.4518,-62.7268,90.5,11.16
Port Alfred,0,ZA,1619894501,68,-33.5906,26.891,61.95,3.38
San Patricio,90,US,1619894510,94,28.017,-97.5169,75.99,11.5
Muisne,75,EC,1619894928,83,0.6,-80.0333,80.6,6.91
Mataura,5,NZ,1619894492,86,-46.1927,168.8643,48.0,1.01
Castro,91,BR,1619894512,68,-24.7911,-50.0119,68.52,2.08
Orhei,0,MD,1619894929,72,47.3831,28.8231,66.2,3.44
Chiredzi,100,ZW,1619894929,72,-21.05,31.6667,66.81,8.99
Darhan,98,MN,1619894929,82,49.4867,105.9228,43.23,12.59
Kruisfontein,0,ZA,1619894516,84,-34.0033,24.7314,53.01,1.01
Port Keats,0,AU,1619894930,58,-14.25,129.55,72.86,5.88
Leningradskiy,100,RU,1619894566,87,69.3833,178.4167,15.12,21.14
Biak,93,ID,1619894930,85,-0.9131,122.8766,76.42,4.34
Samarai,48,PG,1619894513,81,-10.6167,150.6667,79.95,10.36
Salta,0,AR,1619894931,43,-24.7859,-65.4117,73.99,3.44
Punta Arenas,20,CL,1619894463,66,-53.15,-70.9167,46.4,8.05
Yulara,28,AU,1619894502,44,-25.2406,130.9889,57.2,8.05
Tuktoyaktuk,90,CA,1619894360,92,69.4541,-133.0374,14.0,8.05
Tselinnoye,100,RU,1619894931,71,53.0833,85.6667,39.36,11.92
Tawao,20,MY,1619894931,100,4.2498,117.8871,75.2,1.14
Butaritari,99,KI,1619894511,76,3.0707,172.7902,82.63,11.81
New Norfolk,100,AU,1619894503,62,-42.7826,147.0587,55.0,2.86
Hermanus,98,ZA,1619894331,76,-34.4187,19.2345,59.0,1.99
Sittwe,0,MM,1619894532,76,20.15,92.9,81.16,5.44
Bluff,15,NZ,1619894505,86,-46.6,168.3333,48.0,1.01
Ushuaia,20,AR,1619894458,65,-54.8,-68.3,44.6,4.61
Longyearbyen,20,SJ,1619894494,68,78.2186,15.6401,19.4,10.36
Havre de Grace,1,US,1619894817,23,39.5493,-76.0916,64.99,10.96
Vaini,40,TO,1619894335,83,-21.2,-175.2,75.2,13.8
Chifeng,8,CN,1619894349,40,42.2683,118.9636,39.06,7.0
Savinka,77,RU,1619894933,82,50.0785,47.0994,54.97,4.72
Albany,7,US,1619894498,30,42.6001,-73.9662,55.99,4.0
Pyaozerskiy,100,RU,1619894933,91,65.8333,31.1667,30.24,11.59
Puerto Ayora,40,EC,1619894505,65,-0.7393,-90.3518,82.4,20.71
Levice,57,SK,1619894954,88,48.2156,18.6071,56.66,6.26
Saint-Augustin,100,CA,1619894955,96,51.226,-58.6502,37.22,12.73
Sitka,75,US,1619894429,76,57.0531,-135.33,44.6,3.44
Tiksi,100,RU,1619894526,99,71.6872,128.8694,19.24,2.06
Shubarkuduk,11,KZ,1619894955,39,49.1447,56.4872,56.19,13.11
Kapaa,20,US,1619894535,78,22.0752,-159.319,78.01,11.5
Tasiilaq,90,GL,1619894587,93,65.6145,-37.6368,26.6,3.44
Los Llanos de Aridane,75,ES,1619894676,60,28.6585,-17.9182,69.8,12.66
Kabare,100,CD,1619894956,94,-2.4683,28.8242,62.46,1.79
Puro,96,PH,1619894956,80,12.4841,123.3827,79.41,8.14
Caravelas,77,BR,1619894614,61,-17.7125,-39.2481,77.76,10.33
Atuona,0,PF,1619894359,73,-9.8,-139.0333,78.66,9.46
Hong Kong,95,HK,1619894359,85,22.2855,114.1577,79.0,3.42
Chokurdakh,95,RU,1619894495,99,70.6333,147.9167,0.81,3.83
Mahébourg,20,MU,1619894498,94,-20.4081,57.7,73.4,4.61
Ilulissat,1,GL,1619894540,34,69.2167,-51.1,46.4,10.36
Waingapu,35,ID,1619894957,82,-9.6567,120.2641,77.85,8.68
Vila Velha,40,BR,1619894391,65,-20.3297,-40.2925,78.8,11.5
Kokkola,0,FI,1619894957,44,63.8385,23.1307,35.6,4.61
Thompson,90,CA,1619894521,86,55.7435,-97.8558,21.2,9.22
Bredasdorp,100,ZA,1619894467,93,-34.5322,20.0403,50.0,2.3
Bambous Virieux,20,MU,1619894491,94,-20.3428,57.7575,75.0,4.61
Saint George,1,US,1619894578,18,37.1041,-113.5841,88.0,4.61
Juan Lacaze,20,UY,1619894958,38,-34.4342,-57.4381,78.8,4.61
Hobart,100,AU,1619894337,76,-42.8794,147.3294,55.0,10.36
Tsimmerbude,0,RU,1619894958,65,54.675,20.1347,44.6,8.95
Hasaki,20,JP,1619894523,94,35.7333,140.8333,60.8,11.5
Saskylakh,100,RU,1619894372,97,71.9167,114.0833,29.98,2.33
Arraial do Cabo,75,BR,1619894329,73,-22.9661,-42.0278,73.4,6.91
Dikson,100,RU,1619894525,92,73.5069,80.5464,23.45,5.21
Oddur,100,SO,1619894687,64,4.1213,43.8894,81.52,1.28
Rikitea,98,PF,1619894497,80,-23.1203,-134.9692,76.21,12.91
Takoradze,58,GH,1619894959,81,4.8845,-1.7554,82.56,13.35
Tsotíli,100,GR,1619894959,52,40.2667,21.3167,68.0,3.44
Manche,0,FR,1619894960,66,49.0,-1.1667,48.2,8.05
Minna,99,NG,1619894960,25,9.6139,6.5569,93.63,4.88
Ambilobe,63,MG,1619894663,93,-13.2,49.05,74.41,3.27
Busselton,14,AU,1619894498,96,-33.65,115.3333,55.99,3.15
Katsuura,0,JP,1619894873,78,35.1333,140.3,64.0,15.99
Khovd,1,MN,1619894982,29,48.0056,91.6419,43.47,6.06
Hlobyne,62,UA,1619894982,66,49.3878,33.2596,57.24,7.96
Todos Santos,0,MX,1619894767,51,23.45,-110.2167,84.0,5.01
Adelanto,100,US,1619894982,13,34.5828,-117.4092,80.01,11.01
Hithadhoo,81,MV,1619894303,69,-0.6,73.0833,84.38,5.48
Irituia,56,BR,1619894983,83,-1.7711,-47.4381,81.81,0.85
Yangi Marg`ilon,75,UZ,1619894686,72,40.4272,71.7189,64.4,4.61
Ismailia,78,EG,1619894983,43,30.6043,32.2723,74.5,8.16
Ürümqi,75,CN,1619894698,54,43.801,87.6005,55.4,8.95
Teya,100,RU,1619894983,93,60.3778,92.6267,33.78,8.32
Bubaque,5,GW,1619894569,72,11.2833,-15.8333,78.69,17.16
Bathsheba,20,BB,1619894440,54,13.2167,-59.5167,84.2,18.41
Port Elizabeth,0,ZA,1619894508,82,-33.918,25.5701,57.2,3.44
Esperance,0,AU,1619894422,82,-33.8667,121.9,51.8,11.5
Harper,100,LR,1619894638,78,4.375,-7.7169,81.54,10.92
Portland,90,US,1619894576,62,45.5234,-122.6762,55.99,8.05
Ostrovnoy,100,RU,1619894665,77,68.0531,39.5131,25.93,14.61
Alofi,4,NU,1619894413,100,-19.0595,-169.9187,73.4,1.14
Mossamedes,2,AO,1619894661,75,-15.1961,12.1522,76.35,3.69
Lake Shasta,1,US,1619894985,40,40.6804,-122.3708,75.0,5.75
Parker,100,US,1619894955,89,32.7668,-97.8003,70.0,3.0
Sechura,41,PE,1619894985,56,-5.5569,-80.8222,80.87,12.15
Sungai Penuh,80,ID,1619894985,96,-2.0833,101.3833,64.58,4.05
Pangnirtung,75,CA,1619894639,57,66.1451,-65.7125,44.6,9.22
Havøysund,75,NO,1619894986,74,70.9963,24.6622,32.0,6.91
Hamilton,1,US,1619894516,34,39.1834,-84.5333,69.01,13.8
Ribeira Grande,75,PT,1619894683,94,38.5167,-28.7,62.6,21.85
San Isidro,75,PE,1619894986,78,-12.1167,-77.05,73.0,6.91
Boende,94,CD,1619894986,98,-0.2167,20.8667,71.01,3.09
Port-Cartier,100,CA,1619894361,61,50.0334,-66.8654,46.99,18.41
Husavik,75,IS,1619894539,69,66.0449,-17.3389,35.6,14.97
Aksarka,100,RU,1619894987,89,66.5606,67.7975,26.01,17.56
Chui,4,UY,1619894574,55,-33.6971,-53.4616,73.09,5.39
Iqaluit,90,CA,1619894664,70,63.7506,-68.5145,39.2,18.41
Airai,83,TL,1619894549,87,-8.9266,125.4092,56.08,3.02
Saldanha,0,ZA,1619894374,55,-33.0117,17.9442,60.8,5.75
Kamphaeng Phet,25,TH,1619894988,73,16.25,99.5,79.47,1.7
Buraidah,0,SA,1619894461,25,26.326,43.975,86.0,4.61
Noumea,90,NC,1619894988,83,-22.2763,166.4572,71.6,4.61
Halifax,100,CA,1619894835,62,44.6453,-63.5724,53.01,11.5
Gouré,8,NE,1619894988,5,13.9835,10.2704,95.0,1.99
Cabo San Lucas,1,MX,1619894395,61,22.8909,-109.9124,80.01,8.05
Barra Patuca,0,HN,1619894989,58,15.8,-84.2833,86.67,13.71
Lambaréné,74,GA,1619894989,92,-0.7001,10.2406,76.86,1.81
Puerto del Rosario,40,ES,1619894989,64,28.5004,-13.8627,69.8,17.27
Mandalgovi,98,MN,1619894492,30,45.7625,106.2708,45.54,18.57
Saint-Philippe,0,RE,1619894520,78,-21.3585,55.7679,75.2,5.75
Berlevåg,100,NO,1619894990,86,70.8578,29.0864,33.26,21.77
Isangel,75,VU,1619894739,83,-19.55,169.2667,77.0,5.75
Cururupu,65,BR,1619894742,84,-1.8283,-44.8683,80.82,3.38
Hambantota,40,LK,1619894547,100,6.1241,81.1185,78.8,3.44
Gull Lake,1,CA,1619894584,34,50.1001,-108.4847,62.6,5.75
Avarua,75,CK,1619894499,73,-21.2078,-159.775,78.8,6.91
Cape Town,0,ZA,1619894480,82,-33.9258,18.4232,61.0,8.05
Denpasar,20,ID,1619894844,94,-8.65,115.2167,78.8,2.3
East London,0,ZA,1619894287,88,-33.0153,27.9116,57.2,6.91
Malazgirt,86,TR,1619894890,78,39.1427,42.5401,48.18,6.96
Nikolskoye,20,RU,1619894528,56,59.7035,30.7861,42.8,4.47
Sonoita,78,MX,1619894991,10,31.85,-112.8333,93.99,4.0
Port Lincoln,100,AU,1619894548,69,-34.7333,135.8667,61.61,13.78
Dīglūr,100,IN,1619894991,46,18.55,77.6,82.87,7.34
Nouadhibou,5,MR,1619894992,68,20.931,-17.0347,71.6,21.85
Padang,79,ID,1619894617,85,-0.9492,100.3543,78.19,4.07
Mar del Plata,0,AR,1619894511,49,-38.0023,-57.5575,72.0,14.97
Erdaojiang,21,CN,1619894992,90,41.7764,126.0319,37.83,1.95
Mabaruma,75,GY,1619894992,94,8.2,-59.7833,78.8,9.22
Provideniya,25,RU,1619894342,60,64.3833,-173.3,23.4,5.48
Luanda,75,AO,1619894645,83,-8.8368,13.2343,78.8,6.91
La Ronge,62,CA,1619894993,58,55.1001,-105.2842,51.8,9.22
Tilichiki,28,RU,1619894669,86,60.4667,166.1,11.3,9.62
Dhidhdhoo,19,MV,1619894665,71,6.8833,73.1,84.54,5.75
Manacapuru,75,BR,1619894956,74,-3.2997,-60.6206,86.0,5.75
Te Anau,16,NZ,1619894654,87,-45.4167,167.7167,39.18,0.98
Jamestown,1,US,1619894525,32,42.097,-79.2353,60.01,8.05
Batemans Bay,100,AU,1619894543,97,-35.7167,150.1833,55.99,1.01
Linxia Chengguanzhen,100,CN,1619894994,43,35.6003,103.2064,58.87,3.36
Paragominas,92,BR,1619894547,91,-2.9667,-47.4833,79.2,2.01
Tabas,100,IR,1619894519,41,33.5959,56.9244,76.73,4.09
Gorontalo,90,ID,1619894994,94,0.5412,123.0595,74.62,2.35
Marsabit,80,KE,1619894994,63,2.3284,37.9899,70.23,10.16
Turukhansk,100,RU,1619894758,91,65.8167,87.9833,32.11,7.23
Jalingo,100,NG,1619894995,54,8.8833,11.3667,85.93,5.48
Norman Wells,20,CA,1619894995,48,65.282,-126.8329,41.0,5.75
Saint-Michel-des-Saints,100,CA,1619894995,25,46.6834,-73.9159,50.0,10.76
Tiarei,40,PF,1619894996,65,-17.5333,-149.3333,84.2,8.05
Hilo,40,US,1619894408,65,19.7297,-155.09,77.0,3.44
Ahipara,0,NZ,1619894711,78,-35.1667,173.1667,54.27,7.45
Nemuro,100,JP,1619894892,87,43.3236,145.575,37.33,9.4
Mezen',100,RU,1619894996,75,65.8522,44.24,28.87,11.48
São Filipe,1,CV,1619894341,74,14.8961,-24.4956,72.79,11.88
Itaituba,20,BR,1619894997,94,-4.2761,-55.9836,80.6,8.05
Kashan,12,IR,1619894997,35,33.9831,51.4364,74.5,3.53
Sinnamary,66,GF,1619894684,85,5.3833,-52.95,80.2,10.49
Sarāi Mīr,57,IN,1619894997,48,26.0167,82.9167,87.8,10.36
Mimongo,97,GA,1619894997,92,-1.6195,11.6068,71.56,1.45
Davila,20,PH,1619894914,89,18.4726,120.5763,78.8,2.3
Geraldton,100,AU,1619894637,58,-28.7667,114.6,55.4,9.22
Maués,78,BR,1619894998,83,-3.3836,-57.7186,82.29,1.72
Bilma,0,NE,1619894693,4,18.6853,12.9164,90.48,5.55
Pevek,100,RU,1619894455,94,69.7008,170.3133,9.0,8.48
Coshocton,6,US,1619894998,31,40.272,-81.8596,62.01,8.01
Cornélio Procópio,40,BR,1619894999,45,-23.1811,-50.6467,84.2,10.36
Monte Aprazível,75,BR,1619894999,36,-20.7725,-49.7142,82.4,9.22
Huarmey,43,PE,1619894346,73,-10.0681,-78.1522,73.29,11.86
Itacoatiara,59,BR,1619894999,63,-3.1431,-58.4442,86.72,2.71
Rosarito,90,MX,1619895000,53,32.3333,-117.0333,73.99,9.22
Dingle,6,PH,1619894672,87,10.9995,122.6711,76.6,6.6
Zig,1,US,1619895000,54,40.127,-92.7663,80.6,16.11
Edd,98,ER,1619894704,61,13.9297,41.6925,87.13,8.55
Makakilo City,40,US,1619894538,78,21.3469,-158.0858,78.8,5.75
Nanortalik,9,GL,1619894529,54,60.1432,-45.2371,41.04,12.68
Bilibino,61,RU,1619894493,85,68.0546,166.4372,3.4,3.4
Zaysan,100,KZ,1619895001,88,47.4667,84.8667,39.97,11.88
Kodinsk,14,RU,1619895001,97,58.6881,99.1844,28.44,2.98
Bethel,1,US,1619894495,38,41.3712,-73.414,61.0,10.36
Kavieng,46,PG,1619894520,76,-2.5744,150.7967,81.52,4.0
Dabeiba,100,CO,1619895002,89,7.0017,-76.2672,79.93,4.0
Cherskiy,48,RU,1619894567,94,68.75,161.3,4.71,2.3
Mae Chan,20,TH,1619895002,100,20.1467,99.8526,73.4,1.14
‘Ewa Beach,40,US,1619894670,61,21.3156,-158.0072,78.8,13.8
Kiryat Gat,0,IL,1619894284,57,31.61,34.7642,73.99,3.62
Bengkulu,85,ID,1619894515,89,-3.8004,102.2655,75.51,4.52
Nome,90,US,1619894501,74,64.5011,-165.4064,23.0,11.5
Kulhudhuffushi,17,MV,1619895003,71,6.6221,73.07,84.13,5.37
Warrnambool,100,AU,1619895003,62,-38.3833,142.4833,64.0,5.99
Oranzherei,0,RU,1619895004,63,45.8476,47.5663,60.8,4.47
Port Macquarie,40,AU,1619894538,100,-31.4333,152.9167,57.99,3.53
Kumul,100,CN,1619894348,34,42.8,93.45,63.82,30.69
Saint Paul Harbor,1,US,1619894499,81,57.79,-152.4072,39.2,4.61
Båtsfjord,100,NO,1619895004,95,70.6345,29.7185,30.0,15.61
Tuy Hoa,29,VN,1619895005,89,13.0833,109.3,76.73,2.37
Östersund,75,SE,1619895005,48,63.1792,14.6357,35.6,4.61
Khatanga,83,RU,1619894478,99,71.9667,102.5,18.16,2.28
Along,100,IN,1619895005,89,28.1667,94.7667,66.65,2.8
Pisco,0,PE,1619894549,73,-13.7,-76.2167,71.6,9.22
São Paulo de Olivença,100,BR,1619895006,97,-3.3783,-68.8725,71.56,2.95
Olafsvik,36,IS,1619894844,64,64.8945,-23.7142,37.54,20.87
Vardø,100,NO,1619894679,79,70.3705,31.1107,33.73,14.38
George Town,40,MY,1619894510,89,5.4112,100.3354,79.0,4.61
Qaanaaq,76,GL,1619894471,71,77.484,-69.3632,34.93,3.47
Zhumadian,68,CN,1619895006,59,32.9794,114.0294,58.42,5.97
Vangaindrano,100,MG,1619895007,93,-23.35,47.6,73.8,6.22
Acapulco de Juárez,75,MX,1619894895,62,16.8634,-99.8901,86.0,5.75
Butembo,97,CD,1619895007,97,0.15,29.2833,57.96,3.0
Aquiraz,20,BR,1619895007,66,-3.9014,-38.3911,86.0,12.66
Opuwo,76,NA,1619894491,44,-18.0607,13.84,73.96,2.53
Upernavik,15,GL,1619894494,76,72.7868,-56.1549,33.12,4.14
Lüderitz,0,NA,1619894627,40,-26.6481,15.1594,69.17,4.45
Cidreira,0,BR,1619894332,62,-30.1811,-50.2056,70.57,11.86
Banda Aceh,62,ID,1619894618,78,5.5577,95.3222,80.69,7.83
Marzuq,100,YE,1619894523,73,14.4,46.4667,70.92,10.65
Maniitsoq,1,GL,1619894737,67,65.4167,-52.9,38.66,6.4
Igarka,100,RU,1619895008,95,67.4667,86.5833,27.99,7.92
Talakan,98,RU,1619895008,75,50.3167,130.3667,41.56,3.87
Karratha,6,AU,1619895009,59,-20.7377,116.8463,79.47,5.41
Ponta Delgada,75,PT,1619894533,88,37.7333,-25.6667,60.8,10.36
Yellowknife,20,CA,1619895009,63,62.456,-114.3525,28.99,10.36
Abu Dhabi,0,AE,1619895009,74,24.4667,54.3667,82.4,4.61
Joaíma,100,BR,1619895010,51,-16.6542,-41.0306,77.49,6.98
Clyde River,75,CA,1619894495,100,70.4692,-68.5914,19.4,2.42
Kaiyuan,59,CN,1619895010,90,23.6977,103.3037,64.24,2.33
Cayenne,0,GF,1619894530,66,4.9333,-52.3333,86.0,13.8
Popondetta,10,PG,1619894898,95,-8.7537,148.2534,71.2,2.91
Vanimo,100,PG,1619894515,88,-2.6741,141.3028,77.05,3.6
Urmia,90,IR,1619894812,71,37.5527,45.0761,55.4,11.5
Gwadar,0,PK,1619895011,73,25.1216,62.3254,82.8,12.35
Vanavara,12,RU,1619895011,96,60.34,102.2797,28.47,3.94
Souillac,20,MU,1619894514,94,-20.5167,57.5167,73.4,4.61
Brigantine,1,US,1619895011,32,39.4101,-74.3646,68.0,18.41
Paramonga,94,PE,1619895012,75,-10.6667,-77.8333,71.58,10.63
Vallenar,99,CL,1619894940,24,-28.5708,-70.7581,77.23,8.08
Santa Maria,75,BR,1619894781,44,-29.6842,-53.8069,80.6,3.44
Muhafazat Lahij,91,YE,1619895012,54,13.1667,44.5833,81.03,7.47
Raudeberg,10,NO,1619894654,70,61.9875,5.1352,43.0,19.1
Torbay,75,CA,1619894509,67,47.6666,-52.7314,55.4,29.93
Laas,75,IT,1619895013,100,46.6166,10.7002,55.0,10.36
Guerrero Negro,12,MX,1619894539,50,27.9769,-114.0611,75.0,12.84
Faya,20,SA,1619894679,26,18.3851,42.4509,68.0,4.92
Hervey Bay,58,AU,1619895013,94,-25.2986,152.8535,69.01,8.05
Lebu,100,CL,1619894504,93,-37.6167,-73.65,54.97,12.33
Naze,0,JP,1619894525,62,28.3667,129.4833,61.05,10.02
Catuday,63,PH,1619895014,77,16.2923,119.8062,78.53,6.51
Whitecourt,75,CA,1619895014,40,54.1502,-115.6855,50.0,16.11
Yaan,46,NG,1619895014,54,7.3833,8.5667,88.02,11.79
Saint-Pierre,0,RE,1619895015,78,-21.3393,55.4781,75.2,5.75
Urbana,7,US,1619895015,40,40.1106,-88.2073,75.0,8.99
Anloga,20,GH,1619894636,84,5.7947,0.8973,84.2,13.8
Barra do Garças,75,BR,1619895015,74,-15.89,-52.2567,80.6,2.3
Bhiwandi,25,IN,1619894738,79,19.3,73.0667,86.0,5.75
Kaputa,100,ZM,1619895016,87,-8.4689,29.6619,70.12,1.7
Xining,10,CN,1619895016,41,36.6167,101.7667,52.39,2.44
