City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pangody,100,RU,1619895016,90,65.85,74.4859,27.43,7.67
Upata,100,VE,1619895017,58,8.0086,-62.3989,82.81,4.88
Severo-Kuril'sk,100,RU,1619894493,97,50.6789,156.125,35.74,22.84
Brae,75,GB,1619895017,75,60.3964,-1.353,42.8,10.36
Lorengau,96,PG,1619894500,82,-2.0226,147.2712,79.5,1.48
Jinchang,100,CN,1619894898,15,38.4953,102.1739,66.63,6.89
Zhaoyuan,0,CN,1619895017,73,37.3592,120.3964,45.68,5.64
Dunedin,5,NZ,1619895018,57,-45.8742,170.5036,54.0,8.01
Ancud,75,CL,1619894543,82,-41.8697,-73.8203,60.01,12.66
Camacha,40,PT,1619894650,59,33.0833,-16.3333,64.4,9.22
Māngrol,28,IN,1619895018,82,21.1167,70.1167,81.9,8.57
Salalah,20,OM,1619894448,84,17.0151,54.0924,84.2,4.61
Puerto El Triunfo,40,SV,1619895018,52,13.2833,-88.55,95.0,3.44
Maceió,75,BR,1619895006,69,-9.6658,-35.7353,82.4,12.66
Codrington,100,AU,1619894562,76,-38.2667,141.9667,59.4,10.09
Talnakh,54,RU,1619894661,89,69.4865,88.3972,12.65,1.05
Qasigiannguit,1,GL,1619895019,34,68.8193,-51.1922,46.4,10.36
Kolokani,42,ML,1619895019,27,13.5728,-8.0339,93.69,9.1
Comodoro Rivadavia,40,AR,1619894675,28,-45.8667,-67.5,68.0,23.02
Baykit,100,RU,1619895020,95,61.67,96.37,33.46,4.38
Vieste,40,IT,1619895020,68,41.8825,16.175,69.8,8.05
Taoudenni,0,ML,1619894591,19,22.6783,-3.9836,95.34,3.83
Burnie,100,AU,1619894694,94,-41.0667,145.9167,52.0,3.0
Yefremov,87,RU,1619895020,75,53.1481,38.0992,45.14,4.27
Itarema,89,BR,1619894919,77,-2.9248,-39.9167,81.9,5.82
Kaitangata,0,NZ,1619894628,68,-46.2817,169.8464,48.99,5.99
Malakal,30,SS,1619894551,44,9.5334,31.6605,84.69,4.0
Houma,40,US,1619895021,61,29.5958,-90.7195,81.0,12.66
Touros,20,BR,1619894516,61,-5.1989,-35.4608,84.2,14.97
São João do Piauí,96,BR,1619895021,46,-8.3581,-42.2467,85.71,9.37
Quelimane,75,MZ,1619894706,88,-17.8786,36.8883,77.0,5.75
Vytegra,39,RU,1619895021,91,61.0064,36.4481,29.53,4.43
Goderich,100,CA,1619895022,43,43.7501,-81.7165,50.0,16.11
Goundam,16,ML,1619895022,21,16.4145,-3.6708,96.55,9.78
Cockburn Town,40,TC,1619894506,69,21.4612,-71.1419,80.6,9.22
Bayshore Gardens,90,US,1619895022,69,27.4253,-82.5904,84.99,10.36
Kieta,29,PG,1619894675,82,-6.2167,155.6333,78.21,2.28
Lichuan,100,CN,1619895023,91,30.3,108.85,60.76,3.11
Nelson Bay,100,AU,1619894654,100,-32.7167,152.15,55.99,7.83
Bangkalan,20,ID,1619895023,83,-7.0455,112.7351,82.4,6.91
Zabid,98,YE,1619895023,47,14.1951,43.3152,88.32,4.05
Tegh,99,AM,1619895024,90,39.5579,46.4772,46.94,2.84
Limenaria,20,GR,1619895024,77,40.6261,24.5786,66.2,2.93
Jalu,0,LY,1619894671,9,29.0331,21.5482,92.59,10.04
Laguna,1,US,1619895024,52,38.421,-121.4238,75.0,5.75
São João da Barra,20,BR,1619895025,73,-21.6403,-41.0511,75.2,6.91
Wangqing,100,CN,1619895025,76,43.3218,129.7634,41.23,3.76
Wundanyi,100,KE,1619895025,87,-3.4019,38.364,64.15,5.1
Inhambane,100,MZ,1619895026,60,-23.865,35.3833,73.74,16.67
Bjørnevatn,20,NO,1619895026,80,69.6672,29.9847,30.2,6.91
Loa Janan,83,ID,1619895026,94,-0.583,117.095,73.06,0.09
Paita,40,PE,1619895026,51,-5.0892,-81.1144,87.8,16.11
Nizwá,27,OM,1619895027,38,22.9333,57.5333,80.58,9.13
Namatanai,36,PG,1619894505,81,-3.6667,152.4333,78.67,2.62
Soe,91,ID,1619895027,85,-9.8607,124.284,65.86,4.56
Bambey,0,SN,1619895027,45,14.6955,-16.4493,86.0,9.22
Saint Anthony,1,US,1619894668,29,45.0205,-93.218,84.99,10.36
Fortuna,90,US,1619894543,100,40.5982,-124.1573,54.0,12.66
Port Hedland,90,AU,1619894513,100,-20.3167,118.5667,71.6,4.61
Samaná,20,DO,1619895028,66,19.2056,-69.3369,87.8,17.27
Umluj,0,SA,1619895028,41,25.0213,37.2685,85.26,3.78
Santa Cruz de la Sierra,0,BO,1619895029,42,-17.8,-63.1667,84.2,14.97
Carnarvon,100,AU,1619894630,73,-24.8667,113.6333,68.0,9.22
Belmonte,75,BR,1619894854,78,-15.8631,-38.8828,73.4,5.75
Ketchikan,90,US,1619895029,100,55.3422,-131.6461,46.4,8.05
Balabac,65,PH,1619895029,79,7.9868,117.0645,82.18,9.33
Charters Towers,2,AU,1619894826,86,-20.1,146.2667,63.43,7.43
Lashio,37,MM,1619895030,80,22.9333,97.75,68.07,0.81
Caibarién,40,CU,1619895030,29,22.5206,-79.4669,91.4,5.75
Mana,73,GF,1619895030,80,5.6592,-53.7767,81.03,9.28
Quatre Cocos,20,MU,1619894531,94,-20.2078,57.7625,75.0,4.61
Camacupa,100,AO,1619894962,93,-12.0167,17.4833,63.82,4.54
Paamiut,14,GL,1619895031,58,61.994,-49.6678,39.69,2.44
Olinda,40,BR,1619895031,61,-8.0089,-34.8553,82.4,11.5
Yabassi,40,CM,1619895031,79,4.457,9.9682,84.2,3.44
Vieques,40,PR,1619895032,65,18.425,-65.8329,84.2,23.02
Batagay-Alyta,100,RU,1619895032,95,67.8006,130.4114,19.35,4.29
Kalispell,20,US,1619895032,26,48.1958,-114.3129,66.2,12.66
Flin Flon,20,CA,1619895032,50,54.7682,-101.865,51.8,9.22
Port Hueneme,1,US,1619894838,67,34.1478,-119.1951,68.0,8.05
Coruripe,100,BR,1619895033,80,-10.1256,-36.1756,79.25,15.01
Dorado,40,PR,1619895033,74,18.4588,-66.2677,86.0,14.97
Tura,14,IN,1619894665,71,25.5198,90.2201,71.73,4.72
Oromocto,75,CA,1619895033,50,45.8351,-66.4792,55.0,23.02
Peleduy,100,RU,1619895034,99,59.6289,112.7406,33.4,2.98
Sayyan,100,YE,1619895034,82,15.1718,44.3244,55.2,8.21
Carutapera,79,BR,1619895034,80,-1.195,-46.02,81.23,4.61
Haines Junction,99,CA,1619894754,52,60.7522,-137.5108,41.0,2.3
Darnah,54,LY,1619895035,34,32.767,22.6367,79.12,1.14
Hualmay,70,PE,1619894828,73,-11.0964,-77.6139,72.21,9.89
Southbridge,14,US,1619895035,38,42.0751,-72.0334,60.01,1.01
Larsnes,25,NO,1619895035,66,62.2028,5.5773,43.0,13.0
General Elizardo Aquino,0,PY,1619895036,33,-24.4333,-56.7,84.97,4.38
Mpanda,100,TZ,1619895036,95,-6.3655,31.0409,66.36,0.89
Ulaangom,100,MN,1619894657,43,49.9811,92.0667,44.02,10.02
Hearst,100,CA,1619895036,93,49.6835,-83.6665,37.4,4.61
Oranjemund,0,NA,1619895037,34,-28.55,16.4333,70.72,8.99
Mareeba,90,AU,1619894653,78,-17.0,145.4333,73.4,11.5
Ponta do Sol,57,PT,1619894535,61,32.6667,-17.1,63.0,3.0
Imbituba,75,BR,1619895037,57,-28.24,-48.6703,77.0,11.5
Mushie,94,CD,1619895037,97,-3.0167,16.9,70.86,3.33
Hobyo,100,SO,1619894507,64,5.3505,48.5268,85.14,13.09
Broome,1,US,1619895038,40,42.2506,-75.833,55.0,9.22
Grindavik,40,IS,1619894825,49,63.8424,-22.4338,44.6,12.66
Ginir,100,ET,1619894667,90,7.1333,40.7,60.04,3.53
Meulaboh,72,ID,1619894664,88,4.1363,96.1285,78.17,3.44
Aizawl,0,IN,1619895038,92,23.7333,92.7167,58.89,2.66
Departamento de Maldonado,40,UY,1619895039,57,-34.6667,-54.9167,77.0,3.44
Tuatapere,0,NZ,1619894542,86,-46.1333,167.6833,48.0,1.01
Kiama,100,AU,1619894678,89,-34.6833,150.8667,57.99,1.99
Sokol,95,RU,1619895039,70,59.4617,40.1206,35.8,4.85
Mayor Pablo Lagerenza,0,PY,1619895039,27,-19.9309,-60.7718,92.82,11.97
Pereira Barreto,83,BR,1619895039,35,-20.6383,-51.1092,87.73,5.91
Palmer,20,US,1619895040,41,42.1584,-72.3287,59.0,12.66
Ayagoz,0,KZ,1619895040,56,47.9714,80.4392,40.17,9.4
Dessalines,34,HT,1619895040,44,19.2833,-72.5,87.87,13.69
Grand-Lahou,100,CI,1619895041,80,5.1367,-5.0242,82.58,13.18
North Bend,90,US,1619895041,71,43.4065,-124.2243,55.0,12.66
Kenai,1,US,1619894546,52,60.5544,-151.2583,42.8,4.61
Aksu,100,CN,1619894681,23,41.1231,80.2644,71.65,1.16
Numan,68,NG,1619895042,29,9.4667,12.0333,94.06,3.11
Panguna,29,PG,1619895042,94,-6.3164,155.4848,67.5,1.05
Shingū,18,JP,1619894353,68,33.7333,135.9833,53.51,13.56
Yatou,5,CN,1619895042,78,37.15,122.3833,46.27,12.44
Palu,80,ID,1619894940,95,-0.8917,119.8707,74.32,3.49
Malanje,98,AO,1619895043,95,-9.5402,16.341,65.03,7.16
Gaza,0,PS,1619895043,46,31.5,34.4667,73.99,2.3
Kahului,20,US,1619894535,73,20.8947,-156.47,75.2,13.8
Hoopstad,0,ZA,1619895043,53,-27.8327,25.9083,57.58,9.73
Coquimbo,0,CL,1619894492,48,-29.9533,-71.3436,66.2,11.5
Wad Medani,100,SD,1619895044,23,14.4012,33.5199,94.66,1.39
Paraíso,75,CR,1619895044,50,9.8383,-83.8656,82.4,6.91
San Cristobal,40,VE,1619894678,65,7.7669,-72.225,84.2,8.05
Suntar,100,RU,1619895044,98,62.1444,117.6319,33.75,2.1
Road Town,40,VG,1619894663,69,18.4167,-64.6167,82.4,12.66
Howard Springs,75,AU,1619895045,83,-12.497,131.047,77.0,5.75
Waipawa,9,NZ,1619894710,87,-41.4122,175.5153,44.6,6.91
Moindou,90,NC,1619895045,83,-21.6924,165.677,71.6,4.61
Coyhaique,75,CL,1619894666,62,-45.5752,-72.0662,53.6,10.36
Mondeville,0,FR,1619895045,66,49.175,-0.3224,48.2,8.05
Kavaratti,11,IN,1619895046,71,10.5669,72.642,85.51,5.93
Atar,0,MR,1619894668,13,20.5169,-13.0499,92.26,12.53
Byron Bay,75,AU,1619895046,73,-28.65,153.6167,68.0,5.75
Thaba-Tseka,13,LS,1619895046,85,-29.522,28.6084,40.86,3.65
Tutóia,40,BR,1619895047,89,-2.7619,-42.2744,80.6,5.75
Port Augusta,6,AU,1619895047,87,-32.5,137.7667,53.01,4.61
Kaili,97,ID,1619895047,89,-3.4626,120.2147,66.31,3.13
Moyamba,89,SL,1619895047,73,8.1667,-12.4333,80.92,6.55
Ariquemes,100,BR,1619895014,58,-9.9133,-63.0408,86.83,0.87
Barra de Tecoanapa,78,MX,1619895048,57,16.5167,-98.75,87.3,12.91
Āsosa,83,ET,1619895048,65,10.0667,34.5333,68.95,2.93
Bantou,74,CN,1619895048,70,26.2151,117.4893,66.7,0.78
Oranjestad,75,AW,1619895049,78,12.524,-70.027,82.4,13.8
Miguel Calmon,100,BR,1619895049,46,-11.4289,-40.595,81.19,11.18
Kirakira,100,SB,1619895049,83,-10.4544,161.9205,77.76,3.53
Voloshka,50,RU,1619895049,66,61.3314,40.0858,27.77,4.85
Roebourne,6,AU,1619895050,53,-20.7833,117.1333,79.32,6.2
Buje,90,HR,1619895050,82,45.41,13.6619,68.0,12.66
Rome,1,US,1619895003,53,43.2128,-75.4557,50.0,11.5
Eqbālīyeh,75,IR,1619895050,59,35.3022,51.5358,71.6,9.22
College,75,US,1619894533,51,64.8569,-147.8028,35.01,3.0
Lakatoro,100,VU,1619895051,82,-16.0999,167.4164,77.61,7.67
Careiro da Várzea,40,BR,1619895051,66,-3.2003,-59.8119,87.8,3.44
Charlestown,100,AU,1619894799,92,-32.95,151.6667,61.0,4.94
Lima,75,PE,1619895017,78,-12.0432,-77.0282,73.0,6.91
Esil,88,KZ,1619895052,48,51.9556,66.4042,50.9,10.25
Belyy Yar,0,RU,1619895052,75,53.6039,91.3903,41.0,8.95
Tadine,100,NC,1619895052,74,-21.55,167.8833,75.51,19.13
Sangar,100,RU,1619895052,97,63.9242,127.4739,35.46,7.72
Nyagan,100,RU,1619895053,89,62.1406,65.3936,47.26,13.65
Verāval,57,IN,1619895053,82,20.9,70.3667,81.61,9.17
Muroto-misakicho,99,JP,1619895053,62,33.2833,134.15,57.38,29.93
Tashtagol,100,RU,1619895053,97,52.7657,87.8894,35.01,9.22
Itamaraju,100,BR,1619895054,66,-17.0392,-39.5311,75.85,8.05
Kargasok,96,RU,1619895054,80,59.0556,80.8572,35.55,13.56
Dalvik,75,IS,1619895054,69,65.9702,-18.5286,35.6,14.97
Harindānga,100,IN,1619895055,79,22.0383,88.3214,84.2,10.36
Mehamn,100,NO,1619894848,82,71.0357,27.8492,33.39,16.02
Lavrentiya,19,RU,1619894809,79,65.5833,-171.0,16.56,3.33
Borborema,100,BR,1619895055,32,-21.6197,-49.0736,86.74,6.91
Chimbote,12,PE,1619895055,74,-9.0853,-78.5783,72.0,11.95
Beringovskiy,97,RU,1619894674,87,63.05,179.3167,20.21,12.64
‘Āhuimanu,75,US,1619894823,73,21.4447,-157.8378,78.8,9.22
Pacific Grove,90,US,1619894778,77,36.6177,-121.9166,59.0,11.5
Wairoa,33,NZ,1619895056,75,-39.0333,177.3667,48.99,1.99
Santa Marta,17,CO,1619894914,54,11.2408,-74.199,93.0,1.99
Vestmanna,75,FO,1619894925,87,62.1564,-7.1664,37.4,5.14
Mocoa,96,CO,1619895012,92,1.1493,-76.6466,74.48,2.77
Irecê,100,BR,1619895056,36,-11.3042,-41.8558,84.09,17.16
Iracoubo,40,GF,1619895057,84,5.4802,-53.2011,80.15,10.83
Nautla,47,MX,1619895057,73,20.2167,-96.7833,82.4,9.48
Scarborough,5,GB,1619895007,74,54.2797,-0.4044,45.0,5.08
Guayape,40,HN,1619895057,51,14.7167,-86.8333,89.6,4.61
Fīrozpur Jhirka,99,IN,1619895058,23,27.8,76.95,89.08,5.23
Puerto Colombia,75,CO,1619895058,70,10.9878,-74.9547,87.8,6.91
Colesberg,0,ZA,1619895058,58,-30.72,25.0972,52.38,8.81
Araouane,76,ML,1619894844,21,18.9048,-3.5265,94.6,4.32
Colac,61,AU,1619895059,66,-38.3333,143.5833,61.0,5.01
Vestmannaeyjar,100,IS,1619895059,61,63.4427,-20.2734,40.42,13.98
Oodweyne,65,SO,1619895059,68,9.4092,45.064,73.6,8.16
Derzhavīnsk,42,KZ,1619894840,43,51.1,66.3167,52.56,9.31
Chapais,1,CA,1619894906,36,49.7834,-74.8492,42.8,13.8
Artsyz,24,UA,1619895060,79,45.9919,29.4182,59.27,9.4
Lincoln,1,US,1619894936,20,40.8,-96.667,84.2,32.21
São Raimundo das Mangabeiras,13,BR,1619895060,49,-7.0219,-45.4811,87.46,5.75
Zyryanka,93,RU,1619894799,97,65.75,150.85,24.04,1.83
Melfort,98,CA,1619895060,27,52.8667,-104.6177,64.4,4.61
Solnechnyy,100,RU,1619895061,92,50.7214,136.6319,32.18,7.83
Bahir Dar,75,ET,1619895061,76,11.5936,37.3908,66.4,1.88
Oswego,1,US,1619895061,49,43.4501,-76.1497,50.0,9.22
Viedma,100,AR,1619895011,34,-40.8135,-62.9967,72.7,14.5
Butiama,9,TZ,1619895062,89,-1.7667,33.9667,62.96,0.43
Ola,100,RU,1619895062,82,59.5833,151.2833,30.31,6.22
Klaksvík,75,FO,1619894917,87,62.2266,-6.589,37.4,7.99
Hofn,100,IS,1619894821,67,64.2539,-15.2082,38.14,17.05
Saa,94,CM,1619895062,94,4.3667,11.45,73.17,3.31
Nortelândia,52,BR,1619895063,55,-14.4547,-56.8028,87.67,1.77
Guasdualito,26,VE,1619894950,65,7.2424,-70.7324,84.2,3.44
Dawson Creek,40,CA,1619895063,40,55.7666,-120.2362,51.8,9.22
Martapura,40,ID,1619894928,94,-3.4167,114.85,77.0,2.3
Mackay,40,AU,1619894803,88,-21.15,149.2,68.0,8.05
Soyo,100,AO,1619895063,82,-6.1349,12.3689,78.06,9.19
Cartaxo,18,PT,1619895064,57,39.1602,-8.7874,55.0,1.99
Merauke,68,ID,1619895064,90,-8.4667,140.3333,76.37,10.36
Kukushtan,75,RU,1619895064,93,57.6464,56.4952,48.2,15.66
Boshnyakovo,100,RU,1619895065,88,49.6333,142.1667,31.77,9.6
Bayir,0,TR,1619895065,52,37.2687,28.2167,68.0,1.14
Talas,40,TR,1619895065,55,38.6908,35.5538,62.6,5.75
Kalemie,100,CD,1619895066,82,-5.9475,29.1947,72.09,2.86
Aklavik,90,CA,1619894817,80,68.2191,-135.0107,23.0,10.36
Nosy Varika,42,MG,1619895066,90,-20.5833,48.5333,75.31,5.95
Lac du Bonnet,1,CA,1619895066,45,50.2536,-96.0612,64.8,10.04
Iskateley,100,RU,1619895066,98,67.6803,53.1512,32.61,10.09
Gryazovets,23,RU,1619895067,77,58.88,40.2525,35.01,4.76
Markova,40,UA,1619895067,67,48.6758,24.4138,60.8,4.47
Povenets,64,RU,1619895067,50,62.8487,34.8262,32.04,11.03
Faanui,11,PF,1619894779,68,-16.4833,-151.75,80.62,3.44
Dmitriyevka,75,RU,1619895068,38,54.75,55.3333,59.0,13.42
Sungai Besar,40,MY,1619895068,94,3.6746,100.9867,77.0,2.33
Mildura,12,AU,1619894890,48,-34.2,142.15,60.8,10.36
Nyurba,100,RU,1619894910,99,63.2842,118.3319,33.44,4.05
Westport,1,US,1619894628,34,41.1415,-73.3579,62.6,12.66
Alta Floresta,40,BR,1619895069,52,-9.8756,-56.0861,91.4,5.75
Lompoc,40,US,1619894968,82,34.6391,-120.4579,61.0,10.36
Brewster,1,US,1619895069,38,41.3973,-73.6171,62.01,10.36
Labuan,20,MY,1619895070,100,5.2767,115.2417,77.0,5.61
Choya,96,RU,1619895070,94,52.0108,86.5467,35.04,3.6
Challans,0,FR,1619895070,50,46.8436,-1.8749,53.6,8.05
Grand Gaube,3,MU,1619894822,88,-20.0064,57.6608,75.0,1.99
Mopti,39,ML,1619895071,24,14.6667,-4.0,96.8,4.61
Eirunepé,24,BR,1619895071,76,-6.6603,-69.8736,82.72,2.26
Assaí,40,BR,1619895071,45,-23.3733,-50.8414,84.2,10.36
Taltal,51,CL,1619895071,70,-25.4,-70.4833,67.01,6.29
Pinheiro Machado,0,BR,1619895072,58,-31.5783,-53.3811,75.99,3.0
Richards Bay,27,ZA,1619895072,86,-28.783,32.0377,63.36,4.52
Manta,75,EC,1619894823,62,-0.95,-80.7333,86.0,2.3
Tromsø,0,NO,1619894860,69,69.6496,18.957,30.99,5.75
Srednekolymsk,6,RU,1619895073,92,67.45,153.6833,12.38,6.02
Port Angeles,40,US,1619895073,76,48.1181,-123.4307,54.0,13.8
Naryan-Mar,100,RU,1619894844,98,67.6713,53.087,32.72,9.66
Ţahţā,0,EG,1619895073,7,26.7693,31.5021,90.88,14.97
Necochea,72,AR,1619894825,50,-38.5473,-58.7368,73.0,5.01
Kikwit,100,CD,1619895074,94,-5.041,18.8162,70.95,3.6
Gangāpur,94,IN,1619895074,23,26.4833,76.7167,88.03,6.44
Lang Son,100,VN,1619895074,93,21.8333,106.7333,72.21,2.01
Buenos Aires,0,AR,1619895070,64,-34.6132,-58.3772,78.8,4.61
Duvan,100,RU,1619895075,56,55.695,57.9024,52.32,17.47
Port-Gentil,20,GA,1619895075,79,-0.7193,8.7815,84.2,6.91
Kota Kinabalu,20,MY,1619895075,94,5.9749,116.0724,77.0,4.61
Znamenskoye,0,RU,1619894953,56,57.1281,73.8282,35.42,4.56
